name,medicare_provider_number,address,city,county,state,zip_code,telephone,primary_contact,coo,cfo,cmo,cio,chr,cno,web_address,control,services,staffed_beds,personnel
PAM SPECIALTY HOSPITAL OF SAN ANTONIO CENTER,452059,8902  Floyd Curl Drive,SAN ANTONIO,Bexar County,TEXAS,78240-1681,210/690-7000,"Kenny Peterson, Interim Chief Executive Officer",,,"Randall C Bell, M.D.",,,,www.lifecare-hospitals.com,"Partnership, Investor-owned (for-profit)",Acute long-term care hospital,62,176
POST ACUTE/WARM SPRINGS SPECIALTY HOSPITAL OF SAN ANTONIO REHABILITATION INSTITUTE OF SOUTH SAN ANTONIO,743025,12011  South East Loop 410,SAN ANTONIO,Bexar County,TEXAS,78221-4213,210/806-9600,"David A. Salgado, Chief Executive Officer","David Stark, Chief Operating Officer","Deb Mannharth, Chief Financial Officer",,,,"Sharon Danielewicz, Chief Nursing Officer",www.rehabsouthsanantonio.com,"Corporation, Investor-owned (for-profit)",Rehabilitation,36,45
SAN ANTONIO BEHAVIORAL HEALTHCARE HOSPITAL,454132,8550  Huebner Road,SAN ANTONIO,Bexar County,TEXAS,78240-1803,210/541-5300,"Camillia McKinney, Chief Executive Officer",,"Sam Silberman, Chief Financial Officer","Joseph Hernandez, M.D.",,,"Shawn Larabie, Chief Nursing Officer",www.sanantoniobehavioral.com,"Individual, Investor-owned (for-profit)",Psychiatric,198,276
SAN ANTONIO STATE HOSPITAL,454011,"6711 South New Braunfels, Suite  100",SAN ANTONIO,Bexar County,TEXAS,78223-3006,210/531-7711,"Robert C. Arizpe, Superintendent",,"Janie Rabago, Chief Accountant","Terresa Stallworth, M.D.","Chris Stanush, Director Information Management","Renee Bourland, Human Resources Specialist","Maria DC Ostrander, R.N.",www.dshs.state.tx.us/mhhospitals/SanAntonioSH/default.shtm,,Psychiatric,274,875
LEGENT ORTHOPEDIC + SPINE HOSPITAL,670112,5330 North Loop 1604  West,SAN ANTONIO,Bexar County,TEXAS,78249,210/877-8000,"Terri LeBlanc, Chief Executive and Nursing Officer",,,,,,"Lisa Kuopus, Chief Nursing Officer",https://www.legenthealth.com/,"Partnership, Investor-owned (for-profit)",Surgical,25,135
METHODIST HOSPITAL,450388,7700 Floyd Curl Drive,SAN ANTONIO,Bexar County,TEXAS,78229-3993,210/575-4000,"Ryan Simpson, Chief Executive Officer",,"Enrique Bernal, Chief Financial Officer","Russell Woodward, M.D.","Eddie Cuellar, Vice President Information Systems","Nancy Edgar, Vice President Human Resources","Lori Townsend, Chief Nursing Officer",www.sahealth.com,"Partnership, Investor-owned (for-profit)",General medical and surgical,1893,8541
METHODIST REHABILITATION HOSPITAL TEXSAN,,,SAN ANTONIO,Bexar County,TEXAS,78240-3482,726/201-5501,"Claudia Torres, Interim Chief Executive Officer",,,,,,,https://www.sanantonio-rehabhospital.com/,"Corporation, Investor-owned (for-profit)",Rehabilitation,48,
METHODIST STONE OAK HOSPITAL,670055,1139 E Sonterra  Boulevard,SAN ANTONIO,Bexar County,TEXAS,78258-4347,210/638-2100,"Michael D. Beaver, Chief Executive Officer",,"Gabriel Marrufo, Chief Financial Officer",,,,"Ann M Winn, M.D.",www.sahealth.com/locations/methodist-stone-oak-hospital/,"Partnership, Investor-owned (for-profit)",General medical and surgical,284,1269
UNIVERSITY HEALTH,450213,4502 Medical Drive,SAN ANTONIO,Bexar County,TEXAS,78229-4493,210/358-2000,"Edward Banos, President and Chief Executive Officer",,"Peggy Deming, Executive Vice President and Chief Financial Officer","Bryan Alsip, M.D.","Bill Phillips, Vice President Information Services","Theresa Scepanski, Vice President People and Organizational Development","Tommye Austin, Ph.D.",www.universityhealthsystem.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,774,10758
WARM SPRINGS REHABILITATION HOSPITAL OF SAN ANTONIO,453035,5101 Medical Drive,SAN ANTONIO,Bexar County,TEXAS,78229-4801,210/616-0100,"Kyle Sinclair, Chief Executive Officer",,,,"Rick Marek, Vice President Medical Information Systems",,,www.postacutemedical.com/our-facilities/hospitals/warm-springs-,"Partnership, Investor-owned (for-profit)",Rehabilitation,145,413
WESTOVER HILLS BAPTIST HOSPITAL,670333,3011 W Loop 1604 N  Bldg 1,SAN ANTONIO,Bexar County,TEXAS,78251-3963,726/266-8100,"Brady Phillips, Chief Executive Officer","Ryan Law, Chief Operating Officer","Daniel Salazar, Chief Financial Officer",Sowjanya Mohan,"Paola Arbour, Chief Information Officer TX","Marci Montemayor, Director of Human Resources","Jennifer Perlmutter, Chief Nursing Officer",https://www.baptisthealthsystem.com/locations/detail/westover-,"Corporation, Investor-owned (for-profit)",General medical and surgical,92,
CHI ST. LUKE'S HEALTH MEMORIAL SAN AUGUSTINE,670783,511  East Hospital Street,SAN AUGUSTINE,San Augustine County,TEXAS,75972-2121,936/275-3446,"Ashley London, R.N.",,"Kristi Gay, Chief Financial Officer",,,,,https://locations.stlukeshealth.org/location/memorial-san-augustine-,Other not-for-profit (including NFP Corporation),Rural Emergency Hospital,9,
SOUTH TEXAS SPINE AND SURGICAL HOSPITAL,450856,18600 Hardy Oak  Boulevard,SAN ANTONIO,Bexar County,TEXAS,78258-4206,210/507-4090,"Angie Kauffman, Chief Executive Officer","Joe Perez, Associate Director","Sylvia Garcia, Chief Accounting Officer",,"Daniel Scholwinski, Chief Information Officer","Sally Hall, Manager Human Resources","Jennifer West, R.N.",www.southtexassurgical.com,"Partnership, Investor-owned (for-profit)",Orthopedic,32,186
TEXAS CENTER FOR INFECTIOUS DISEASE,670125,2303 SE Military Drive,SAN ANTONIO,Bexar County,TEXAS,78223-3597,210/534-8857,"James N. Elkins, FACHE",,"Glenda Armstrong-Huff, Assistant Superintendent","David Griffith, M.D.","Andre Avant, Facility Automation Manager","Gerald Shackelford, Staff Support Specialist","Rebecca Sanchez, R.N.",www.dshs.state.tx.us/tcid/default.shtm,,Tuberculosis and other respiratory diseases,50,166
ENCOMPASS HEALTH REHABILITATION HOSPITAL VISION PARK,673034,117 Vision Park Boulevard,SHENANDOAH,Montgomery County,TEXAS,77384-3001,936/444-1700,"Angela L. Simmons, Chief Executive Officer",,"Terri Weiss, Chief Financial Officer",,,,,www.healthsouthvisionpark.com/,"Corporation, Investor-owned (for-profit)",Rehabilitation,60,158
NEXUS SPECIALTY HOSPITAL SHENANDOAH CAMPUS,,123 Vision Park  Boulevard,SHENANDOAH,Montgomery County,TEXAS,77384-3001,281/364-0317,"James R. Resendez, FACHE",,"David Strickler, Chief Financial Officer","Ather Siddiqi, M.D.","Noe Salinas, Vice President Information Technology","Kevin McAndrews, Vice President Human Resources","Rhena Anderson, Chief Nursing Officer",www.nexusspecialty.com,"Partnership, Investor-owned (for-profit)",General medical and surgical,54,
AHS SHERMAN MEDICAL CENTER,450469,500 North Highland Avenue,SHERMAN,Grayson County,TEXAS,75092-7354,903/870-4611,"Ronald Morgan, Chief Executive Officer",,"Andrea Lane, Chief Financial Officer",,"Prabhu Bollu, Chief Information Officer",,"Jennifer Marie Carter, Chief Nursing Officer",https://ahssmc.org/,"Corporation, Investor-owned (for-profit)",General medical and surgical,99,345
BAYLOR SCOTT & WHITE SURGICAL HOSPITAL–SHERMAN,670076,3601  ⇑ North Calais Street,SHERMAN,Grayson County,TEXAS,75090-1785,903/870-0999,"Nikole Best, Chief Executive Officer",,,"Curtis Holbrook, M.D.","Grant Hulsey, Director Information Technology","Terrie Langford, Director Human Resources","Teresa Dutton, R.N.",https://baylorsherman.com,"Partnership, Investor-owned (for-profit)",General medical and surgical,12,166
CARRUS BEHAVIORAL HOSPITAL,454153,1724 West US Highway 82  Suite 200,SHERMAN,Grayson County,TEXAS,75092-7037,903/870-1200,"Anbu Nachimuthu, Chief Executive Officer and Chairman",,,,,,,https://www.carrushealth.com/inpatient-services/behavioral-health-,"Corporation, Investor-owned (for-profit)",Children's hospital psychiatric,28,82
CHRISTUS SANTA ROSA HOSPITAL – SAN MARCOS,450272,1301 Wonder  World Drive,SAN MARCOS,Hays County,TEXAS,78666-7544,512/353-8979,"Robert Honeycutt, President",,"Rick Villarreal, Vice President Finance","Lee Johannsen, M.D.",,"Debbie D. Cox, Administrative Director Human Resources","William Micah Johnson, MSN",https://www.christushealth.org/santa-rosa/san-marcos,"Church operated, Nongovernment, not-for-profit",General medical and surgical,139,366
GUADALUPE REGIONAL MEDICAL CENTER,450104,1215 East Court  Street,SEGUIN,Guadalupe County,TEXAS,78155-5189,830/379-2411,"Robert Gerard. Haynes, FACHE","Sheri Williams, Chief Operating Officer","Penny Wallace, Chief Financial Officer","Robert Ryan, M.D.","Steve Ratliff, Director Information Technology","Fay Bennett, Vice President Employee Services","Daphne Blake, R.N.",www.grmedcenter.com,"City-county, Government, Nonfederal",General medical and surgical,90,847
MEMORIAL HOSPITAL,451358,209 NW Eighth Street,SEMINOLE,Gaines County,TEXAS,79360-3447,432/758-5811,"Albert Pilkington III, Chief Executive Officer","Maegen Garner, Chief Operating Officer","Traci Anderson, Chief Financial Officer","Michael Watson, M.D.",,,,www.seminolehospitaldistrict.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,79,293
SEYMOUR HOSPITAL,451399,200 Stadium Drive,SEYMOUR,Baylor County,TEXAS,76380-2344,940/889-5572,"Leslie Hardin, Chief Executive Officer and Chief Financial Officer",,"Leslie Hardin, Chief Executive Officer and Chief Financial Officer","Kory Lann Martin, M.D.",,"Linda Moore, Manager Human Resources","Julie Smajstrla, Director Nursing",www.seymourhospital.com/,"Hospital district or authority, Government, Nonfederal",General medical and surgical,25,123
SHAMROCK GENERAL HOSPITAL,451340,1000 South Main Street,SHAMROCK,Wheeler County,TEXAS,79079-2896,806/256-2114,"Paul Burke, Administrator",,,,,"Cecille Williams, Assistant Administrator","Jeanne Crossland, Director of Nursing",https://shamrockhospital.com/,"Corporation, Investor-owned (for-profit)",General medical and surgical,25,62
LILLIAN M. HUDSPETH MEMORIAL HOSPITAL,451324,308 Hudspeth  Avenue,SONORA,Sutton County,TEXAS,76950-8003,325/387-2521,"Joe Marshall, Chief Executive Officer","Joe Marshall, Chief Operating Officer","Michelle Schaefer, Chief Financial Officer",,,,"Lara Ellen Teague, R.N.",www.sonora-hospital.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,13,80
METHODIST SOUTHLAKE HOSPITAL,670132,421 East State Highway 114,SOUTHLAKE,Tarrant County,TEXAS,76092,817/865-4400,"Benson Chacko, President",,,,"Pamela McNutt, Senior Vice President & Chief Information Officer",,,https://www.methodisthealthsystem.org/methodist-southlake-,Other not-for-profit (including NFP Corporation),General medical and surgical,22,186
TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE,450888,1545 East Southlake Boulevard,SOUTHLAKE,Tarrant County,TEXAS,76092-6422,817/748-8700,"Traci Bernard, R.N.",,"Mitchell Mulvehill, Group Financial Officer","David Taunton, M.D.",,"Tasha Sledge, Director Human Resources","Debra Ennis, Vice President and Chief Nursing Officer",www.texashealthsouthlake.org,"Partnership, Investor-owned (for-profit)",Surgical,17,132
HANSFORD HOSPITAL,451344,707 South Roland Street,SPEARMAN,Hansford County,TEXAS,79081-3441,806/659-2535,"Jonathan D. Bailey, Chief Executive Officer and Administrator",,"Scott Beedy, Chief Financial Officer","Mark Garnett, M.D.",,"Jackie Nelson, Director Human Resources",,www.hchd.net,"Hospital district or authority, Government, Nonfederal",General medical and surgical,14,105
ATRIUM MEDICAL CENTER,452114,11929 West Airport Boulevard,STAFFORD,Fort Bend County,TEXAS,77477-2451,281/207-8200,"Ahmad Zaid, Chief Executive Officer","Niraj Patel, Chief Operating Officer","Gloria Carrion, Chief Financial Offricer","Shatish Patel, M.D.",,,"Vivian Bradly, Chief Nursing Officer",www.atriummedicalcenter.com,"Partnership, Investor-owned (for-profit)",Acute long-term care hospital,68,51
CARRUS REHABILITATION HOSPITAL,673041,"1810 West US Highway 82,  Suite 100",SHERMAN,Grayson County,TEXAS,75092-7069,903/870-2600,"Anbu Nachimuthu, Chief Executive Officer and Chairman",,"Michael Exline, Chief Financial Officer","Jose Matus, M.D.","Gary Glenn, Director Information Technology","Charlene Shupert, Director Staff Services","Marie Johnson, Chief Nursing Officer",www.carrushospital.com,"Corporation, Investor-owned (for-profit)",Rehabilitation,24,83
CARRUS SPECIALTY HOSPITAL,452041,1810 West US Highway 82,SHERMAN,Grayson County,TEXAS,75092-7069,903/870-2600,"Jon Michael. Rains, President and Chief Operating Officer",,"Michael Exline, Chief Financial Officer","Nathan Watson, M.D.","Gary Glenn, Director Information Technology","Charlene Shupert, Director Staff Services","Marie Johnson, Chief Nursing Officer",www.carrushospital.com,"Corporation, Investor-owned (for-profit)",Acute long-term care hospital,33,127
ASCENSION SETON SMITHVILLE,450143,1201 Hill Road,SMITHVILLE,Bastrop County,TEXAS,78957,512/237-3214,"Steven Brockman-Weber, President Seton Southwest and Northwest",,"Melissa Nordyke, Chief Financial Officer",,,"Sara Rodriguez, Human Resources","Christine Laflamme, R.N.",https://healthcare.ascension.org/Locations/Texas/TXAUS/,"Church operated, Nongovernment, not-for-profit",General medical and surgical,8,74
COGDELL MEMORIAL HOSPITAL,451384,1700 Cogdell Boulevard,SNYDER,Scurry County,TEXAS,79549-6198,325/573-6374,"Ella Raye. Helms, Chief Executive Officer",,"John Everett, Chief Financial Officer","Robert Rakov, M.D.",,"Linda Warren, Director Human Resources",,www.cogdellhospital.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,25,310
MEMORIAL HERMANN SUGAR LAND HOSPITAL,450848,17500 West  Grand Parkway South,SUGAR LAND,Fort Bend County,TEXAS,77479-2562,281/725-5000,"Malisha Patel, FACHE",,"Lisa Kendler, Chief Financial Officer","William Riley, M.D.",,"Robert Blake, Chief Human Resources Officer Southwest Market",,www.memorialhermann.org,Other not-for-profit (including NFP Corporation),General medical and surgical,179,939
MEMORIAL HERMANN SURGICAL HOSPITAL–FIRST COLONY,450860,16906 Southwest Freeway,SUGAR LAND,Fort Bend County,TEXAS,77479-2350,281/243-1000,"Daniel Smith, Chief Executive Officer",,"Raquel Hebert, Business Manager","Ken Thomson, M.D.",,,,www.memorialhermannfirstcolony.com,"Partnership, Investor-owned (for-profit)",Surgical,6,86
ST. LUKE'S HEALTH – SUGAR LAND HOSPITAL,670053,1317 Lake Pointe  Parkway,SUGAR LAND,Fort Bend County,TEXAS,77478-3997,281/637-7000,"Freemon Walker, Director of Hospital Operations and Interim President",,"Bill Beauchamp, Chief Financial Officer",,,,Wes Garrison,https://www.commonspirit.org/find-a-location/st-lukes-health-sugar-,"Church operated, Nongovernment, not-for-profit",General medical and surgical,100,333
ST. MICHAEL'S ELITE HOSPITAL,670314,16000 Southwest Freeway,SUGAR LAND,Fort Bend County,TEXAS,77479-2673,281/980-4357,"Diane Hutchings, R.N.",,"Brian Orsak, Chief Financial Officer",Shannon Orsak,,,"Autumn Norsworthy, Director of Nursing",https://www.24hrer.com/,"Partnership, Investor-owned (for-profit)",General medical and surgical,6,36
CHRISTUS MOTHER FRANCES HOSPITAL – SULPHUR SPRINGS,450236,115 Airport Road,SULPHUR SPRINGS,Hopkins County,TEXAS,75482-2105,903/885-7671,"Paul Harvey, President / Chief Executive Officer","Donna Geiken Wallace, Chief Operating Officer and Chief Financial Officer","Donna Geiken Wallace, Chief Operating Officer and Chief Financial Officer","Chris Gallagher, M.D.",,"Donna Rudzik, Director Human Resources",,www.tmfhc.org/maps-and-locations/locations-,"Church operated, Nongovernment, not-for-profit",General medical and surgical,62,393
MARTIN COUNTY HOSPITAL DISTRICT,451333,600 Interstate 20E,STANTON,Martin County,TEXAS,79782,432/607-3200,"Nancy D. Cooke, Chief Executive Officer",,"Michele Cathey, Interim Chief Financial officer",,"Freddy Oliveras, Chief Information Officer","Paula Dority, Director Human Resources","Brandi Avila, Chief Nursing Officer",www.martincountyhospital.org/,"Hospital district or authority, Government, Nonfederal",General medical and surgical,18,209
TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILLE,450351,411 North Belknap Street,STEPHENVILLE,Erath County,TEXAS,76401-3415,254/965-1500,"Claudia A. Eisenmann, FACHE",,,"Marilyn Brister, M.D.",,"Kimberly Leondar, Director Human Resources","Cynthia L McCarthy, Chief Nursing Officer",www.texashealth.org/landing.cfm?id=108,Other not-for-profit (including NFP Corporation),General medical and surgical,35,216
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUGAR LAND,673042,1325 Highway 6,SUGAR LAND,Fort Bend County,TEXAS,77478-4906,281/276-7574,"Bindu Varghese, R.N.",,,,,,"Steve Midgett, R.N.",www.healthsouthsugarland.com,"Corporation, Investor-owned (for-profit)",Rehabilitation,50,192
HOUSTON METHODIST SUGAR LAND HOSPITAL,450820,16655 SW  Freeway,SUGAR LAND,Fort Bend County,TEXAS,77479-2329,281/274-7000,"Michael Garcia, Chief Executive Officer",,,"Jeffrey Jackson, M.D.",,"Luis Mario Garcia Jr, Director Human Resources",,www.methodisthealth.com,Other not-for-profit (including NFP Corporation),General medical and surgical,339,2630
KINDRED HOSPITAL SUGAR LAND,452080,1550 First Colony Boulevard,SUGAR LAND,Fort Bend County,TEXAS,77479-4000,281/275-6000,"Hala Alameddine, Chief Executive Officer",,"Sara Rodriguez, Chief Financial Officer","Subodh Bhuchar, M.D.","Feisal Ndomea, Director Case Management","Lupe Delgado, Coordinator Human Resources","Hala Alameddine, Chief Nursing Executive",www.kindred.com,"Corporation, Investor-owned (for-profit)",Acute long-term care hospital,91,173
BAYLOR SCOTT & WHITE MEDICAL CENTER – TAYLOR,451374,305  Mallard Lane,TAYLOR,Williamson County,TEXAS,76574-1208,512/352-7611,"Jay Fox, FACHE",,,,,,,https://www.bswhealth.com/locations/taylor/pages/default.,Other not-for-profit (including NFP Corporation),General medical and surgical,15,144
BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL–TEMPLE,452105,546 North Kegley Road,TEMPLE,Bell County,TEXAS,76502-4069,254/215-0900,"Candice Gourley, President",,,"David P Ciceri, M.D.",,,"Robert Pisicotta, Chief Nursing Officer",www.sw.org/location/temple-cch,Other not-for-profit (including NFP Corporation),Acute long- term care hospital,73,115
